Region,Area,Outlet Code,Outlet Type,Latitude,Longitude,Total Sales,Classification,
City1,Area1,O09372,RETAILER,22.5712759,88.3529511,180000,B,
City1,Area1,O09517,RETAILER,22.5734092,88.353588,150000,B,
City1,Area1,O10190,RETAILER,22.5800515,88.3569974,180000,B,
City1,Area1,O10214,RETAILER,22.5806958,88.3570976,180000,B,
City1,Area1,O10100,RETAILER,22.5812094,88.3563534,15000,C,
City1,Area1,O10313,RETAILER,22.581725,88.3577138,30000,C,
City1,Area1,O10316,RETAILER,22.58171,88.3577495,35000,C,
City1,Area2,O01559,RETAILER,22.5025983,88.3118133,445500,A,
City1,Area2,O01565,RETAILER,22.5034983,88.3120133,405000,A,
City1,Area2,O01568,RETAILER,22.4966983,88.3122133,432000,A,
City1,Area2,O01594,RETAILER,22.4973754,88.3129361,127500,B,
City1,Area2,O01595,RETAILER,22.4973754,88.3129361,120000,B,
City1,Area2,O01598,RETAILER,22.4955855,88.3129513,60600,B,
City1,Area2,O02232,RETAILER,22.5015206,88.315921,116250,C,
City1,Area2,O02236,RETAILER,22.5045866,88.3159447,64800,C,
City1,Area2,O02239,RETAILER,22.4957013,88.3159523,29700,C,
City1,Area2,O02251,RETAILER,22.4971206,88.316021,116250,C,
City1,Area3,O18739,RETAILER,22.6562942,88.3789352,232500,B,
City1,Area3,O18774,RETAILER,22.6570942,88.3790352,,B,
City1,Area3,O18805,RETAILER,22.6633942,88.3791352,235000,B,
City1,Area3,O19893,RETAILER,,,,B,
City1,Area3,O18728,RETAILER,22.659593,88.378902,,C,
City1,Area3,O18760,RETAILER,22.660593,88.379002,,C,
City1,Area3,O18761,RETAILER,22.664693,88.379002,,C,
City1,Area3,O18781,RETAILER,22.663393,88.379102,,C,
City1,Area4,O06399,RETAILER,22.5285764,88.3431494,,A,
City1,Area4,O06416,RETAILER,22.5302764,88.3432494,,A,
City1,Area4,O06507,RETAILER,22.5334764,88.3436494,,A,
City1,Area4,O06525,RETAILER,22.5285764,88.3437494,,A,
City1,Area4,O06364,RETAILER,22.5336098,88.3429658,,B,
City1,Area4,O06384,RETAILER,22.5301875,88.3430986,188000,B,
City1,Area4,O06406,RETAILER,22.5293098,88.3431658,212000,B,
City1,Area4,O06092,RETAILER,22.5329875,88.3415986,254400,C,
City1,Area4,O06093,RETAILER,22.5292875,88.3415986,228000,C,
City1,Area4,O06100,RETAILER,22.5317558,88.341649,27300,C,
City1,Area4,O06101,RETAILER,22.5348212,88.3416494,141400,C,
City1,Area5,O12732,RETAILER,22.5801491,88.3680943,600000,A,
City1,Area5,O12754,RETAILER,22.5728889,88.3681422,436500,A,
City1,Area5,O12755,RETAILER,22.5703889,88.3681422,468000,A,
City1,Area5,O08115,RETAILER,22.5643798,88.3491121,324000,B,
City1,Area5,O08177,RETAILER,22.5626798,88.3493121,285000,B,
City1,Area5,O08178,RETAILER,22.5629798,88.3493121,276000,B,
City1,Area5,O08222,RETAILER,22.5654798,88.3494121,330000,B,
City1,Area5,O08468,RETAILER,22.5723311,88.35006,30900,C,
City1,Area5,O08481,RETAILER,22.5687085,88.3501021,182000,C,
City1,Area5,O08499,RETAILER,22.5716515,88.3501313,88200,C,
City1,Area5,O08502,RETAILER,22.5710866,88.3501413,28200,C,
City1,Area51,O03471,RETAILER,22.5387931,88.3202816,180000,A,
City1,Area51,O03472,RETAILER,22.5395931,88.3202816,196200,A,
City1,Area51,O03522,RETAILER,22.544345,88.3204284,272500,A,
City1,Area51,O00493,RETAILER,22.5265447,88.2745237,160500,B,
City1,Area51,O00494,RETAILER,22.5226885,88.2745464,130000,B,
City1,Area51,O00498,RETAILER,22.5193238,88.2745732,72000,B,
City1,Area51,O00499,RETAILER,22.5205447,88.2746237,147000,B,
City1,Area51,O01368,RETAILER,22.5131434,88.3026832,15450,C,
City1,Area51,O01369,RETAILER,22.5209434,88.3026832,15900,C,
City1,Area51,O01376,RETAILER,22.5179434,88.3027832,14850,C,
City1,Area51,O01381,RETAILER,22.5142434,88.3028832,14850,C,
City1,Area51,O01382,RETAILER,22.5218434,88.3028832,15900,C,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
