customer_id,sales,units,orders,unique_products_bought,unique_payments_used,unique_categories_bought,aov,aur,upt,category_a_sales,category_b_sales,category_c_sales,category_d_sales,category_e_sales,category_a_units,category_b_units,category_c_units,category_d_units,category_e_units,payment_cash,payment_credit,payment_debit,payment_gc,payment_others,email_subscribed,omni_shopper
1,2395,11,5,5,3,3,479.0,217.72727272727272,2.2,0.4801670146137787,,0.4509394572025052,,0.06889352818371608,0.36363636363636365,,0.36363636363636365,,0.2727272727272727,,0.5198329853862212,0.16701461377870563,0.31315240083507306,,0,0
2,4815,15,7,6,4,3,687.8571428571429,321.0,2.142857142857143,0.7217030114226376,,0.24714434060228452,,0.03115264797507788,0.4666666666666667,,0.3333333333333333,,0.2,0.03115264797507788,0.7040498442367601,0.18691588785046728,0.0778816199376947,,1,1
3,4285,21,10,9,4,5,428.5,204.04761904761904,2.1,0.24037339556592766,0.1750291715285881,0.30921820303383896,0.2100350058343057,0.06534422403733955,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.23809523809523808,,0.2637106184364061,0.30921820303383896,0.147024504084014,0.28004667444574094,0,0
4,12000,44,21,15,4,5,571.4285714285714,272.72727272727275,2.0952380952380953,0.575,0.0675,0.15833333333333333,0.17083333333333334,0.028333333333333332,0.4090909090909091,0.1590909090909091,0.18181818181818182,0.11363636363636363,0.13636363636363635,0.06666666666666667,0.345,0.37,0.21833333333333332,,1,0
5,1700,8,3,3,2,2,566.6666666666666,212.5,2.6666666666666665,,0.2647058823529412,0.7352941176470589,,,,0.375,0.625,,,,,0.7352941176470589,0.2647058823529412,,0,0
6,6465,21,10,9,3,4,646.5,307.85714285714283,2.1,0.5545243619489559,,0.07733952049497293,0.3402938901778809,0.027842227378190254,0.5714285714285714,,0.09523809523809523,0.19047619047619047,0.14285714285714285,0.2815158546017015,0.5916473317865429,0.1268368136117556,,,0,0
7,12085,42,20,15,3,5,604.25,287.73809523809524,2.1,0.44435250310302027,0.0359950351675631,0.39470417873396774,0.11170872983036823,0.013239553165080678,0.3333333333333333,0.07142857142857142,0.4523809523809524,0.07142857142857142,0.07142857142857142,,0.5134464211832851,0.45179975175837817,,0.03475382705833678,1,0
8,5365,18,9,7,3,4,596.1111111111111,298.05555555555554,2.0,0.3821062441752097,0.11183597390493942,,0.4846225535880708,0.021435228331780055,0.2777777777777778,0.2777777777777778,,0.3333333333333333,0.1111111111111111,,0.26933830382106244,0.5144454799627214,0.21621621621621623,,1,0
9,5310,21,10,10,2,4,531.0,252.85714285714286,2.1,0.07532956685499058,0.243879472693032,0.20056497175141244,0.480225988700565,,0.047619047619047616,0.47619047619047616,0.19047619047619047,0.2857142857142857,,,0.8248587570621468,0.1751412429378531,,,1,1
10,1775,7,3,3,2,2,591.6666666666666,253.57142857142858,2.3333333333333335,0.28169014084507044,,0.7183098591549296,,,0.2857142857142857,,0.7142857142857143,,,,0.5352112676056338,0.4647887323943662,,,0,0
11,5640,23,10,7,3,5,564.0,245.2173913043478,2.3,0.25,0.05319148936170213,0.24822695035460993,0.3900709219858156,0.05851063829787234,0.21739130434782608,0.08695652173913043,0.2608695652173913,0.17391304347826086,0.2608695652173913,,0.4432624113475177,0.36524822695035464,0.19148936170212766,,1,0
12,450,6,3,3,3,2,150.0,75.0,2.0,,0.5333333333333333,,,0.4666666666666667,,0.3333333333333333,,,0.6666666666666666,,0.13333333333333333,0.3333333333333333,0.5333333333333333,,0,0
13,17635,52,20,15,5,4,881.75,339.13461538461536,2.6,0.4227388715622342,0.0652112276722427,0.1774879500992345,0.33456195066628863,,0.36538461538461536,0.17307692307692307,0.23076923076923078,0.23076923076923078,,0.06804649844060108,0.4539268500141764,0.2908987808335696,0.09356393535582648,0.09356393535582648,1,0
14,4465,18,9,9,3,5,496.1111111111111,248.05555555555554,2.0,0.40313549832026874,0.14109742441209405,0.1623740201567749,0.2687569988801792,0.02463605823068309,0.2777777777777778,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.1111111111111111,,0.8152295632698768,0.06159014557670773,0.12318029115341546,,0,0
15,5120,17,9,7,3,4,568.8888888888889,301.1764705882353,1.8888888888888888,0.3125,0.126953125,0.169921875,0.390625,,0.23529411764705882,0.29411764705882354,0.17647058823529413,0.29411764705882354,,,0.62109375,0.208984375,0.169921875,,0,0
16,2860,13,7,7,3,4,408.57142857142856,220.0,1.8571428571428572,0.6748251748251748,0.04195804195804196,,0.19230769230769232,0.09090909090909091,0.46153846153846156,0.07692307692307693,,0.07692307692307693,0.38461538461538464,,0.7692307692307693,0.19230769230769232,0.038461538461538464,,0,0
