order_id,order_item_id,tran_dt,customer_id,dollars,qty,product_id,payment_type_id
1,1,2020-01-01,572,550,1,20,2
2,2,2020-01-01,532,630,3,11,2
3,3,2020-01-01,608,450,2,18,4
4,4,2020-01-01,424,110,2,10,2
5,5,2020-01-01,584,250,1,8,4
6,6,2020-01-01,388,675,3,18,4
7,7,2020-01-01,277,580,2,14,2
8,8,2020-01-01,58,375,1,6,2
9,9,2020-01-01,835,250,1,3,3
10,10,2020-01-01,566,500,2,16,2
11,11,2020-01-01,610,400,1,21,2
12,12,2020-01-01,67,110,2,10,4
13,13,2020-01-01,496,1160,4,14,2
14,14,2020-01-01,836,1100,2,22,2
15,15,2020-01-01,102,300,2,19,2
16,16,2020-01-01,501,160,2,2,2
17,17,2020-01-01,723,780,2,7,2
18,18,2020-01-01,540,750,2,6,2
19,19,2020-01-01,429,55,1,10,2
20,20,2020-01-01,456,270,2,17,2
21,21,2020-01-01,394,390,1,7,2
22,22,2020-01-02,28,270,2,17,2
23,23,2020-01-02,671,450,2,18,2
24,24,2020-01-02,160,150,3,5,5
25,25,2020-01-02,716,180,3,15,3
26,26,2020-01-02,955,420,2,11,1
27,27,2020-01-02,213,800,2,21,3
28,28,2020-01-02,193,225,1,18,2
29,29,2020-01-02,253,250,1,16,4
30,30,2020-01-02,494,750,3,8,2
31,31,2020-01-02,964,1100,2,20,3
32,32,2020-01-02,212,800,2,21,3
33,33,2020-01-02,941,1650,3,20,2
34,34,2020-01-02,536,450,1,1,2
35,35,2020-01-02,497,240,2,12,2
36,36,2020-01-02,695,100,2,5,2
37,37,2020-01-02,789,1800,4,1,3
38,38,2020-01-02,96,900,4,18,2
39,39,2020-01-02,131,900,2,1,3
40,40,2020-01-02,999,160,2,2,2
41,41,2020-01-02,136,500,2,8,4
42,42,2020-01-02,792,750,3,8,2
43,43,2020-01-02,513,825,3,13,1
44,44,2020-01-02,747,300,2,19,2
45,45,2020-01-02,526,270,2,17,3
46,46,2020-01-02,271,110,2,10,2
47,47,2020-01-02,58,250,1,3,3
48,48,2020-01-02,485,210,1,11,2
49,49,2020-01-03,50,900,2,1,2
50,50,2020-01-03,110,100,2,5,4
51,51,2020-01-03,84,780,2,7,3
52,52,2020-01-03,939,120,2,15,2
53,53,2020-01-03,436,870,3,14,2
54,54,2020-01-03,530,550,1,20,2
55,55,2020-01-03,116,750,2,6,2
56,56,2020-01-03,468,450,2,18,2
57,57,2020-01-03,19,270,2,17,2
58,58,2020-01-03,711,1650,3,22,2
59,59,2020-01-03,393,800,2,4,2
60,60,2020-01-03,264,160,2,2,2
61,61,2020-01-03,92,100,2,5,2
62,62,2020-01-03,112,1170,3,7,3
63,63,2020-01-03,611,1350,3,1,4
64,64,2020-01-03,70,780,2,7,2
65,65,2020-01-03,608,1500,4,6,2
66,66,2020-01-03,708,1800,4,9,3
67,67,2020-01-03,101,500,2,8,2
68,68,2020-01-03,802,400,1,21,3
69,69,2020-01-03,308,220,4,10,2
70,70,2020-01-03,365,160,2,2,2
71,71,2020-01-03,847,450,1,9,2
72,72,2020-01-03,417,750,3,3,1
73,73,2020-01-03,198,50,1,5,3
74,74,2020-01-03,716,1200,3,21,3
75,75,2020-01-03,487,800,2,21,1
76,76,2020-01-04,470,420,2,11,3
77,77,2020-01-04,430,270,2,17,3
78,78,2020-01-04,421,900,2,1,3
79,79,2020-01-04,348,1100,2,20,4
80,80,2020-01-04,178,120,1,12,2
81,81,2020-01-04,725,675,3,18,4
82,82,2020-01-04,544,900,2,1,3
83,83,2020-01-04,159,550,2,13,2
84,84,2020-01-04,302,870,3,14,2
85,85,2020-01-04,336,1200,3,4,2
86,86,2020-01-04,914,250,1,3,2
87,87,2020-01-04,1000,150,3,5,4
88,88,2020-01-04,867,220,4,10,2
89,89,2020-01-04,252,825,3,13,3
90,90,2020-01-04,554,360,3,12,2
91,91,2020-01-04,663,1100,2,20,2
92,92,2020-01-04,730,110,2,10,2
93,93,2020-01-04,773,60,1,15,3
94,94,2020-01-04,353,300,2,19,2
95,95,2020-01-04,918,1350,3,1,2
96,96,2020-01-04,436,180,3,15,2
97,97,2020-01-05,895,550,1,22,2
98,98,2020-01-05,133,290,1,14,2
99,99,2020-01-05,175,580,2,14,2
100,100,2020-01-05,991,800,2,21,3
101,101,2020-01-05,333,225,1,18,2
102,102,2020-01-05,475,1650,3,22,4
103,103,2020-01-05,493,780,2,7,3
104,104,2020-01-05,776,750,3,8,2
105,105,2020-01-05,120,1200,3,4,2
106,106,2020-01-05,274,225,1,18,2
107,107,2020-01-05,108,1100,2,20,2
